date	localtime	station	Zone	zoneletter	zonenumber	collab_siteID	collaborator	FL_Region	FL_region_zone	sitecategory	Habitat	depth	depth_m	lat	long	Dist_shore	SCTLD	pro	syn	peuk	hbact	npoc	tn	po4	nh4	silicate	no2	no3	no2no3	temp	dissolvedO2_percent	dissolvedO2	salinity	Metagenomes	Microbiomes	CoralTissue	MicrobiomeANDTissue	Calcified_Macroalgae	Crustose_Coralline_Algae	Cyanobacteria	Fleshy_Macroalgae	Hard_coral	Invertebrates	Non_biological	Other	Other_invertebrates	Seagrass	Soft_coral	Sponge	Turf_Algae	BenthicSurvey	AvgChl	AvgPhaeo
6/15/19	8:30:00	FLA_058	6	F	Zone 6	West Washer Women	FWC CREMP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	19	5.8	24.54751	-81.58665	4.65	12.53	12867	29053	577	320977	77.05	6.12	0.21	0.88	1.8	0.04	0.56	0.6	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/15/19	11:02:00	FLA_059	6	F	Zone 6	CRCP_1404	CRCP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	41	12.5	24.50236	-81.61343	8.67	3.63	67275	34298	408	355486	76.78	1.07	0.18	0.03	0.1	0.05	0.15	0.2	29.271	96.4	5.96	P	TRUE	TRUE	TRUE	TRUE	0.24	0.2	0	31.4	3.2	0	1.6	0	0.16	0	6.33	2.68	54.19	TRUE	0.186335077	0.065645703
6/15/19	11:33:00	FLA_060	6	F	Zone 6	CRCP_1453	CRCP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	35	10.7	24.51868	-81.53458	9.93	5.71	81984	38742	1153	418767	76.43	3.44	0.21	0.26	0.7	0.05	0.15	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/15/19	14:01:00	FLA_061	5	E	Zone 5	Mote Legacy; Enzymedica	E_Muller	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	23	7	24.52634	-81.50437	9.82	0.68	67486	49753	858	391134	82.12	3.76	0.17	1.31	0.7	0.04	0.16	0.2	29.751	103.8	6.37	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/15/19	14:22:00	FLA_062	5	E	Zone 5	CRCP_1431	CRCP	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	32	9.8	24.53914	-81.47021	7.74	4.31	70819	48263	520	431972	86.82	3.85	0.16	0.3	0.3	0.01	BD	0	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/15/19	15:57:00	FLA_063	5	E	Zone 5	Munson Head	E_Muller	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	21	6.4	24.59554	-81.37202	3.52	18.79	10153	65855	914	396563	111.87	7.84	0.32	1.56	2.9	0.09	0.61	0.7	31.132	99.7	5.96	P	FALSE	FALSE	FALSE	FALSE	5.24	0.2	0.28	7.13	10.25	0	1.72	0	0.24	0	12.21	5.2	57.53	TRUE	NA	NA
6/16/19	9:08:00	FLA_064	1	A	Zone 1	Carysfort Shallow	FWC CREMP	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	18	5.5	25.22213	-80.2104	10.4	0	17156	68006	1083	360773	81	4.11	0.21	0.19	0.7	0.04	0.46	0.5	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/16/19	8:32:00	FLA_065	1	A	Zone 1	Carysfort Deep	FWC CREMP	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	23	7	25.22259	-80.20981	10.38	1.62	17620	72098	1181	365723	76.86	4.47	0.2	0.28	0.6	0.05	0.45	0.5	28.958	95.5	5.94	P	FALSE	TRUE	FALSE	TRUE	1.32	4.16	0.2	20.1	2.08	0	0.6	0.04	1.96	0	17.05	0.72	51.76	TRUE	0.253026338	0.131904992
6/16/19	11:26:00	FLA_066	1	A	Zone 1	NPS_Rocky Reef	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	27	8.2	25.3341	-80.1612	8.34	0	4922	92616	1041	649913	84.61	3.67	0.2	0.53	0.8	0.04	0.16	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0.2	0	0.12	15.46	1.49	0	0	0	1.77	0	7.61	4.31	69.04	TRUE	NA	NA
6/16/19	11:19:00	FLA_067	1	A	Zone 1	NPS_Ball Buoy Reef	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	20	6.1	25.31832	-80.18423	6.57	0.69	5920	69961	802	524475	86.2	4.18	0.26	0.62	1.6	0.07	0.23	0.3	NA	NA	NA	NA	TRUE	TRUE	FALSE	TRUE	0.92	0	0	42.34	0.92	0	0.04	0	0.8	0	7.28	0.92	46.78	TRUE	0.269537432	0.15152192
6/16/19	13:56:00	FLA_068	1	A	Zone 1	NPS_Marker 3 (Pacific channel)	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	20	6.1	25.3728	-80.15998	6.26	2.47	2630	44409	816	639619	82.42	3.23	0.21	0.28	0.7	0.04	0.16	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/16/19	14:21:00	FLA_069	1	A	Zone 1	NPS_The Drop	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	45	13.7	25.3661	-80.13779	8.47	1.38	5498	32527	1153	528033	75.19	6.43	0.19	0.47	1	0.04	0.56	0.6	28.799	89.1	5.55	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/16/19	15:44:00	FLA_070	1	A	Zone 1	NPS_Star Control	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	6	1.8	25.40166	-80.15585	5.02	2.46	2967	67598	1125	644723	87.68	4.16	0.18	0.31	1	0.04	0.16	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/16/19	16:25:00	FLA_071	1	A	Zone 1	NPS_AliNAÍs Reef	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	19	5.8	25.38634	-80.16294	5.1	0	5105	54717	1041	584634	81.5	4.69	0.24	0.43	0.9	0.04	0.56	0.6	29.023	79	4.9	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/17/19	14:41:00	FLA_072	1	A	Zone 1	new site	new site	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	14	4.3	25.40165	-80.15604	5.01	22.83	2686	66473	928	698597	87.68	4.3	0.24	1.14	1.4	0.08	0.42	0.5	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/17/19	13:50:00	FLA_073	1	A	Zone 1	new site	new site	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	17	5.2	25.38634	-80.16294	5.1	45.05	3234	44100	591	695194	88.35	4.46	0.18	0.16	1.7	0.06	0.44	0.5	28.716	83.8	5.22	P	FALSE	TRUE	FALSE	TRUE	4.5	4.19	0.04	9.95	19.25	0	5.8	1.11	0.04	2.31	8.34	0.77	43.7	TRUE	0.303812324	0.253099646
6/17/19	18:15:00	FLA_074	1	A	Zone 1	Turtle	FWC CREMP	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	10	3	25.29528	-80.21912	5.27	4.83	3459	100252	1027	683086	88.3	3.2	0.2	0.27	2	0.07	0.33	0.4	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/17/19	16:12:00	FLA_075	1	A	Zone 1	CRCP_1012	CRCP	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	17	5.2	25.3102	-80.21854	4.44	1.44	3586	75670	759	747731	112.44	4.96	0.22	0.2	2	0.04	0.16	0.2	29.292	92.6	5.73	P	TRUE	TRUE	FALSE	TRUE	2.16	0.16	0.12	19.79	5.13	0	0	0.04	0.2	0	11.66	3.08	57.65	TRUE	0.351291985	0.146663516
6/18/19	9:00:00	FLA_076	4	D	Zone 4	Grouper Reef	E_Muller	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	24	7.3	24.6525	-81.03638	5.7	5.56	98916	14414	773	306731	81.85	5.31	0.17	0.09	0.1	0.03	0.07	0.1	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/18/19	8:50:00	FLA_077	4	D	Zone 4	CRCP_1315	CRCP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	29	8.8	24.61098	-81.17352	8.19	0.47	126689	13809	577	280083	76.84	3.04	0.17	0.19	0.8	0.01	0.09	0.1	28.87	97.4	6.06	P	FALSE	TRUE	FALSE	TRUE	0	0.04	0	17.24	0.36	0	0	0.04	0.04	0	3.09	3.61	75.58	TRUE	0.157425262	0.069207934
6/18/19	11:11:00	FLA_078	4	D	Zone 4	Rawa Reef	FWC CREMP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	25	7.6	24.71761	-80.9356	4.68	0.2	86414	44677	844	384891	76.27	5.67	0.17	0.05	0.2	0.04	0.26	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/18/19	10:39:00	FLA_079	4	D	Zone 4	CRCP_1317	CRCP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	43	13.1	24.63808	-81.06404	5.84	0.28	110278	16073	731	302752	71.9	2.8	0.19	0.13	0.9	0.02	0.08	0.1	28.924	99.4	6.19	P	TRUE	TRUE	FALSE	TRUE	0.28	0.08	0.12	48.86	1.04	0	13.9	0	0	0	0.8	1.84	33.08	TRUE	0.129855433	0.053238998
6/18/19	15:39:00	FLA_080	3	C	Zone 3	Alligator Deep	FWC CREMP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	37	11.3	24.84515	-80.62079	9.62	1.7	86006	40191	661	433814	87.15	2.18	0.17	0.04	0.3	0.04	0.06	0.1	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/18/19	14:57:00	FLA_081	3	C	Zone 3	CRCP_1295	CRCP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	27	8.2	24.89389	-80.55376	6.92	0.43	91814	35058	773	403031	86.63	3.62	0.18	0.02	0.2	0.01	0.09	0.1	29.234	103.6	6.42	P	FALSE	FALSE	FALSE	FALSE	2.52	0.88	0.2	33.08	0.88	0	7.21	0	0.32	0	3.68	3.08	48.14	TRUE	NA	NA
6/18/19	17:42:00	FLA_082	3	C	Zone 3	CRCP_1282	CRCP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	24	7.3	24.92234	-80.50574	7.19	0	66389	40219	661	376383	89.13	4.04	0.18	0.05	0.3	0.03	0.17	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0.6	0.92	0.12	20.9	0.4	0	0	0	1	0	2.08	1	72.98	TRUE	NA	NA
6/18/19	16:45:00	FLA_083	3	C	Zone 3	CRCP_1330	CRCP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	42	12.8	24.92344	-80.50183	7.39	0	61397	38222	731	349270	79.55	1.88	0.18	0.26	0.2	0.03	0.17	0.2	29.245	102	6.31	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/19/19	7:19:00	FLA_084	1	A	Zone 1	NPS_Marker 14	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	17	5.2	25.46383	-80.16827	1.77	0.57	8831	139683	1463	924947	104.01	5.87	0.22	0.28	2.2	0.07	0.33	0.4	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/19/19	9:04:00	FLA_085	1	A	Zone 1	Brewsters Reef	Biscayne_NPS	North Key Largo/Biscayne Bay	Zone 1 - North Key Largo/Biscayne Bay	FK Reef Tract	Forereef	26	7.9	25.5664	-80.09936	8.82	0	64730	112388	1603	448172	79.43	2.14	0.19	0.12	1.1	0.04	0.26	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	1.32	0.88	0	38	0.76	0	11.7	0	1.96	0	8.74	1.2	35.43	TRUE	NA	NA
